,movieid,name,genre,rating
504,518,Road to Wellville,Comedy,2
505,519,Robocop 3  ,"SciFi,Thriller",2
506,520,Robin Hood: Men in Tights  ,Comedy,3
507,521,Romeo Is Bleeding  ,"Crime,Thriller",3
508,522,Romper Stomper  ,"Action,Drama",4
509,523,Ruby in Paradise  ,Drama,4
510,524,Rudy  ,Drama,4
511,525,Saint of Fort Washington,Drama,3
512,526,Savage Nights (Nuits fauves,Drama,2
513,527,Schindler's List  ,"Drama,War",5
514,528,Scout,Drama,3
515,529,Searching for Bobby Fischer  ,Drama,4
516,530,Second Best  ,Drama,4
517,531,Secret Garden,"Children,Drama",4
518,532,Serial Mom  ,"Comedy,Crime,Horror",3
519,533,Shadow,Action,3
520,534,Shadowlands  ,"Drama,Romance",4
521,535,Short Cuts  ,Drama,4
522,536,Simple Twist of Fate,Drama,3
523,537,Sirens  ,"Comedy,Drama",3
524,538,Six Degrees of Separation  ,Drama,4
525,539,Sleepless in Seattle  ,"Comedy,Romance",4
526,540,Sliver  ,Thriller,2
527,541,Blade Runner  ,"Noir,SciFi",4
528,542,Son in Law  ,Comedy,3
529,543,So I Married an Axe Murderer  ,"Comedy,Romance,Thriller",3
530,544,Striking Distance  ,Action,3
531,545,Harlem  ,Drama,2
532,546,Super Mario Bros.  ,"Action,Adventure,Children",2
533,547,Surviving the Game  ,"Action,Adventure,Thriller",3
534,548,Terminal Velocity  ,Action,3
535,549,Thirty-Two Short Films About Glenn Gould  ,Documentary,4
536,550,Threesome  ,"Comedy,Romance",3
537,551,Nightmare Before Christmas,"Children,Comedy",4
538,552,Three Musketeers,"Action,Adventure",3
539,553,Tombstone  ,Western,4
540,554,Trial by Jury  ,Thriller,3
541,555,TrueRomance,"Action,Crime,Romance",4
542,556,WarRoom,Documentary,4
543,557,Mamma Roma  ,Drama,4
544,558,Pagemaster,"Action,Adventure,Children,Fantasy",3
545,559,Paris,Comedy,3
546,560,Beans of Egypt,Drama,4
547,561,Killer (Bulletproof Heart)  ,Thriller,4
548,562,Welcome to the Dollhouse  ,"Comedy,Drama",4
549,563,Germinal  ,Drama,3
550,564,Chasers  ,Comedy,2
551,565,Cronos  ,Horror,3
552,566,Naked in New York  ,"Comedy,Romance",3
553,567,Kika  ,Drama,4
554,568,Bhaji on the Beach  ,"Comedy,Drama",4
555,569,Little Big League  ,"Children,Comedy",3
556,570,Slingshot,"Comedy,Drama",3
557,571,Wedding Gift,Drama,4
558,572,Foreign Student  ,Drama,3
559,573,Ciao,Drama,4
560,574,Spanking the Monkey  ,"Comedy,Drama",3
561,575,Little Rascals,"Children,Comedy",3
562,576,Fausto  ,Comedy,3
563,577,Andre  ,"Adventure,Children",3
564,578,Hour of the Pig,"Drama,Mystery",4
565,579,Scorta,Thriller,2
566,580,Princess Caraboo  ,Drama,3
567,581,Celluloid Closet,Documentary,4
568,582,Metisse (Café au Lait)  ,Comedy,3
569,583,Dear Diary (Caro Diario)  ,"Comedy,Drama",4
570,584,I Don't Want to Talk About It (De eso no se habla)  ,Drama,4
571,585,Brady Bunch Movie,Comedy,3
572,586,Home Alone  ,"Children,Comedy",3
573,587,Ghost  ,"Comedy,Romance,Thriller",3
574,588,Aladdin  ,"Animation,Children,Comedy",4
575,589,Terminator 2: Judgment Day  ,"Action,SciFi,Thriller",4
576,590,Dances with Wolves  ,"Adventure,Drama,Western",4
577,591,Tough and Deadly  ,"Action,Drama,Thriller",2
578,592,Batman  ,"Action,Adventure,Crime",4
579,593,Silence of the Lambs,"Drama,Thriller",4
580,594,Snow White and the Seven Dwarfs  ,"Animation,Children,Musical",4
581,595,Beauty and the Beast  ,"Animation,Children,Musical",4
582,596,Pinocchio  ,"Animation,Children",4
583,597,Pretty Woman  ,"Comedy,Romance",4
584,598,Window to Paris  ,Comedy,4
585,599,Wild Bunch,Western,4
586,600,Love and a .45  ,Thriller,3
587,601,Wooden Man's Bride,Drama,3
588,602,Great Day in Harlem,Documentary,4
589,603,Bye Bye,Comedy,3
590,605,One Fine Day  ,"Drama,Romance",3
591,606,Candyman: Farewell to the Flesh  ,Horror,2
592,607,Century  ,Drama,2
593,608,Fargo  ,"Crime,Drama,Thriller",4
594,609,Homeward Bound II: Lost in San Francisco  ,"Adventure,Children",3
